iter	Passed	Remaining
0	4	405
1	7	381
2	11	359
3	13	323
4	15	301
5	18	285
6	20	271
7	23	264
8	25	252
9	26	242
10	28	233
11	30	225
12	32	216
13	34	209
14	35	203
15	37	198
16	39	194
17	41	188
18	43	183
19	44	178
20	46	173
21	47	169
22	49	166
23	51	163
24	53	159
25	54	155
26	56	152
27	57	149
28	59	146
29	61	142
30	62	140
31	64	137
32	66	135
33	68	132
34	70	130
35	72	128
36	73	125
37	75	123
38	77	121
39	79	119
40	81	117
41	82	113
42	83	110
43	85	108
44	86	106
45	88	104
46	90	101
47	91	99
48	93	97
49	95	95
50	96	93
51	98	90
52	100	88
53	101	86
54	102	83
55	104	81
56	105	79
57	107	77
58	109	75
59	110	73
60	112	71
61	114	69
62	115	67
63	117	66
64	119	64
65	121	62
66	122	60
67	124	58
68	126	56
69	128	54
70	129	53
71	131	51
72	133	49
73	135	47
74	137	45
75	138	43
76	140	41
77	142	40
78	143	38
79	145	36
80	146	34
81	148	32
82	150	30
83	151	28
84	153	27
85	154	25
86	156	23
87	158	21
88	159	19
89	161	17
90	162	16
91	164	14
92	166	12
93	168	10
94	169	8
95	171	7
96	172	5
97	174	3
98	175	1
99	177	0
