iter	Passed	Remaining
0	293	293414
1	301	150513
2	306	101866
3	313	78049
4	319	63515
5	323	53625
6	331	46964
7	335	41586
8	339	37370
9	343	34050
10	347	31249
11	351	28918
12	354	26944
13	359	25331
14	363	23857
15	366	22523
16	374	21671
17	378	20643
18	382	19723
19	387	18999
20	391	18263
21	395	17580
22	400	17023
23	405	16474
24	408	15948
25	412	15451
26	419	15103
27	423	14689
28	426	14266
29	431	13956
30	436	13643
31	439	13292
32	442	12968
33	448	12742
34	451	12449
35	454	12164
36	456	11889
37	462	11705
38	466	11494
39	469	11256
40	471	11030
41	474	10821
42	480	10695
43	483	10504
44	486	10318
45	488	10139
46	494	10024
47	497	9868
48	500	9710
49	502	9552
50	508	9468
51	511	9323
52	513	9180
53	516	9040
54	518	8903
55	521	8799
56	524	8677
57	526	8552
58	528	8432
59	530	8315
60	532	8198
61	536	8111
62	538	8011
63	540	7909
64	542	7805
65	544	7705
66	546	7609
67	548	7516
68	552	7457
69	554	7370
70	556	7284
71	558	7198
72	560	7116
73	562	7035
74	564	6964
75	567	6899
76	569	6828
77	571	6755
78	573	6684
79	575	6613
80	576	6544
81	578	6481
82	580	6418
83	583	6358
84	584	6296
85	586	6234
86	588	6174
87	590	6115
88	591	6058
89	593	6001
90	596	5954
91	597	5901
92	599	5847
93	601	5793
94	602	5741
95	604	5690
96	605	5641
97	607	5592
98	610	5559
99	612	5515
100	614	5469
101	616	5424
102	617	5379
103	619	5336
104	621	5295
105	622	5253
106	625	5222
107	627	5184
108	629	5144
109	630	5104
110	632	5065
111	634	5027
112	636	4992
113	637	4956
114	641	4936
115	643	4902
116	644	4865
117	646	4831
118	647	4796
119	649	4763
120	651	4731
121	652	4696
122	656	4680
123	658	4651
124	660	4621
125	662	4594
126	664	4564
127	666	4537
128	667	4509
129	670	4489
130	672	4463
131	674	4436
132	676	4408
133	678	4382
134	680	4357
135	682	4334
136	685	4315
137	686	4290
138	688	4264
139	690	4240
140	691	4214
141	692	4187
142	694	4162
143	697	4143
144	699	4122
145	701	4100
146	702	4077
147	704	4055
148	706	4032
149	707	4010
150	709	3988
151	712	3973
152	714	3954
153	716	3934
154	717	3913
155	719	3893
156	721	3872
157	722	3851
158	724	3832
159	727	3821
160	729	3800
161	731	3782
162	732	3762
163	734	3742
